LR,gamma,batch_size,runtime,cutoffpenaltyscalar,rg_prob,trialv
0.0001,0.9,64,41400,1,0.05,ps-rg-scale
0.0001,0.9,64,41400,2,0.05,ps-rg-scale
0.0001,0.9,64,41400,3,0.05,ps-rg-scale
0.0001,0.9,64,41400,1,0.1,ps-rg-scale
0.0001,0.9,64,41400,2,0.1,ps-rg-scale
0.0001,0.9,64,41400,3,0.1,ps-rg-scale
0.0001,0.9,64,41400,1,0.2,ps-rg-scale
0.0001,0.9,64,41400,2,0.2,ps-rg-scale
0.0001,0.9,64,41400,3,0.2,ps-rg-scale
0.0001,0.9,64,41400,1,0.4,ps-rg-scale
0.0001,0.9,64,41400,2,0.4,ps-rg-scale
0.0001,0.9,64,41400,3,0.4,ps-rg-scale
