LR,batch_size,gamma,runtime,inputfile
0.1,64,0.95,30600,BM_sparse15x15x5.xlsx
0.01,64,0.95,30600,BM_sparse15x15x5.xlsx
0.1,32,0.95,30600,BM_sparse15x15x5.xlsx
0.01,32,0.95,30600,BM_sparse15x15x5.xlsx
0.1,64,0.99,30600,BM_sparse15x15x5.xlsx
0.01,64,0.99,30600,BM_sparse15x15x5.xlsx
0.1,32,0.99,30600,BM_sparse15x15x5.xlsx
0.01,32,0.99,30600,BM_sparse15x15x5.xlsx
0.1,64,0.95,30600,BM_sparse15x15x5v2.xlsx
0.01,64,0.99,30600,BM_sparse15x15x5v2.xlsx
0.1,32,0.99,30600,BM_sparse15x15x5v2.xlsx
0.1,32,0.99,30600,BM_sparse15x15x5v2.xlsx
