x,y,z,policyname,LR,gamma,batch_size,runtime,turnspc,trialv,ncpu,buffer
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,500
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,5000
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,50000
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,500000
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,5000000
40,40,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,500
40,40,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,5000
40,40,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,50000
40,40,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,500000
40,40,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest,1,5000000
