x,y,z,policyname,LR,gamma,batch_size,runtime,cutoffpenaltyscalar,rg_prob,turnspc,trialv
15,15,6,CnnPolicy,0.001,0.99,1,28800,1,0,0.1,singlegamma
15,15,6,MlpPolicy,0.001,0.99,1,28800,1,0,0.1,singlegamma
15,15,6,CnnPolicy,0.01,0.99,1,28800,1,0,0.1,singlegamma
15,15,6,MlpPolicy,0.01,0.99,1,28800,1,0,0.1,singlegamma
15,15,6,CnnPolicy,0.001,0.99,1,28800,1,0.05,0.1,singlegamma
15,15,6,MlpPolicy,0.001,0.99,1,28800,1,0.05,0.1,singlegamma
15,15,6,CnnPolicy,0.01,0.99,1,28800,1,0.05,0.1,singlegamma
15,15,6,MlpPolicy,0.01,0.99,1,28800,1,0.05,0.1,singlegamma
15,15,6,CnnPolicy,0.001,0.99,1,28800,1,0.1,0.1,singlegamma
15,15,6,MlpPolicy,0.001,0.99,1,28800,1,0.1,0.1,singlegamma
15,15,6,CnnPolicy,0.01,0.99,1,28800,1,0.1,0.1,singlegamma
15,15,6,MlpPolicy,0.01,0.99,1,28800,1,0.1,0.1,singlegamma
