LR,gamma,batch_size,runtime,cutoffpenaltyscalar,rg_prob,turnspc,trialv
0.0001,0.99,64,21600,1,0.0001,0.3,no_ore_cutoff
0.0001,0.99,64,21600,1,0.0001,0.4,no_ore_cutoff
0.0001,0.99,64,21600,1,0.0001,0.6,no_ore_cutoff
0.0001,0.99,64,21600,1,0.01,0.3,no_ore_cutoff
0.0001,0.99,64,21600,1,0.01,0.4,no_ore_cutoff
0.0001,0.99,64,21600,1,0.01,0.6,no_ore_cutoff
0.0001,0.99,64,21600,1,0.1,0.3,no_ore_cutoff
0.0001,0.99,64,21600,1,0.1,0.4,no_ore_cutoff
0.0001,0.99,64,21600,1,0.1,0.6,no_ore_cutoff
0.0001,0.99,64,21600,1,0,0.3,no_rg
0.0001,0.99,64,21600,1,0,0.4,no_rg
0.0001,0.99,64,21600,1,0,0.6,no_rg
