x,y,z,policyname,LR,gamma,batch_size,runtime,turnspc,trialv,ncpu,buffer
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest500,1,500
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest5000,1,5000
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest50000,1,50000
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest500000,1,500000
20,20,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,buffertest5000000,1,5000000
40,40,6,MlpPolicy,0.0001,0.95,N/A,41400,0.05,policycomp,1,5000
40,40,6,CnnPolicy,0.0001,0.95,N/A,41400,0.05,policycomp,1,5000
20,20,6,MlpPolicy,0.0001,0.8,N/A,41400,0.05,gammat,1,5000
20,20,6,MlpPolicy,0.0001,0.9,N/A,41400,0.05,gammat,1,5000
20,20,6,MlpPolicy,0.0001,1,N/A,41400,0.05,gammat,1,5000
