x,y,z,policyname,LR,gamma,batch_size,runtime,turnspc,trialv,ncpu
15,15,4,MlpPolicy,0.001,0.85,N/A,172800,0.1,errors,4
15,15,4,MlpPolicy,0.001,0.85,N/A,172800,0.1,errors,1
15,15,4,MlpPolicy,0.00001,0.99,N/A,172800,0.1,LR,4
15,15,4,MlpPolicy,0.0005,0.99,N/A,172800,0.1,LR,4
15,15,4,MlpPolicy,0.0001,0.99,N/A,172800,0.1,LR,4
15,15,4,MlpPolicy,0.0005,0.99,N/A,172800,0.1,LR,4
15,15,4,MlpPolicy,0.001,0.99,N/A,172800,0.1,LR,4
15,15,4,MlpPolicy,0.005,0.99,N/A,172800,0.1,LR,4
15,15,4,MlpPolicy,0.01,0.99,N/A,172800,0.1,LR,4
15,15,4,MlpPolicy,0.05,0.99,N/A,172800,0.1,LR,4
