,0,1,2,3
0,0,3.7940333333333345,0.7822236754458713,"[2, 2, 13, 2, 0, 11, 0, 15, 4, 3, 11, 8, 2, 10, 6, 13, 11, 1, 13, 15, 0, 0, 1, 4, 1, 13, 10, 14, 11, 5, 6, 9, 14, 3, 3, 1, 3, 10, 14, 12, 1, 15, 15, 4, 9, 4, 6, 9]"
1,1,2.7382000000000013,0.6118738784280476,"[3, 15, 10, 7, 11, 7, 9, 2, 2, 8, 14, 10, 3, 0, 13, 6, 11, 9, 9, 2, 8, 9, 11, 9, 1, 14, 4, 6, 3, 9, 9, 9, 9, 5, 2, 4, 10, 10, 10, 11, 13, 10, 10, 0, 10, 14, 14, 7]"
2,2,-0.43373333333333286,0.47862223409330756,"[2, 13, 10, 14, 15, 0, 8, 10, 10, 14, 12, 9, 5, 11, 11, 14, 14, 12, 14, 14, 14, 14, 8, 12, 11, 11, 11, 10, 11, 11, 3, 0, 3, 8, 1, 10, 8, 8, 3, 7, 5, 7, 7, 7, 2, 7, 4, 7]"
3,3,-4.714666666666666,0.3743896431025813,"[7, 7, 7, 7, 4, 7, 7, 7, 7, 11, 7, 5, 5, 3, 12, 6, 5, 11, 5, 13, 5, 4, 2, 2, 5, 5, 9, 5, 5, 13, 10, 13, 5, 2, 5, 11, 5, 5, 6, 6, 15, 6, 6, 6, 6, 6, 10, 0]"
4,4,-2.3525333333333327,0.29285644267656924,"[6, 4, 6, 8, 13, 6, 15, 7, 2, 13, 3, 6, 6, 15, 6, 3, 3, 3, 2, 3, 0, 10, 3, 3, 5, 3, 3, 3, 14, 1, 14, 3, 2, 3, 3, 3, 11, 3, 3, 4, 14, 4, 8, 4, 4, 5, 4, 7]"
5,5,-5.562366666666666,0.2290792429684691,"[8, 7, 4, 4, 4, 4, 13, 4, 15, 4, 4, 4, 4, 4, 4, 8, 1, 2, 4, 11, 12, 12, 1, 1, 2, 14, 12, 11, 12, 12, 3, 2, 2, 14, 12, 12, 2, 2, 2, 2, 14, 5, 12, 12, 12, 12, 12, 12]"
6,6,-11.4986,0.17919120740315364,"[2, 14, 13, 2, 6, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 8, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 14, 14, 1, 14, 14, 14, 14, 14, 14, 14, 0, 6, 6, 6, 15, 1, 6, 5, 15]"
7,7,-14.068533333333331,0.14016760486247823,"[1, 1, 1, 14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 15, 15, 15, 15, 15, 8, 13, 15, 15, 15, 15, 15, 15, 15, 8, 15, 11, 0, 15, 15, 13, 15, 15, 13, 0]"
8,8,-12.972366666666666,0.10964241905397228,"[13, 13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 13, 13, 13, 13, 13, 5, 13, 13, 13, 13, 15, 13, 13, 13, 13, 13, 13, 5, 11, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 15, 0, 9]"
9,9,-9.839233333333333,0.08576489601717459,"[14, 5, 14, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 11, 5, 5, 5, 5, 11, 11, 3, 6, 6, 6, 6, 6, 6, 6, 6, 2, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 0, 0]"
10,10,-2.9670666666666667,0.06708733218678724,"[5, 5, 10, 10, 10, 4, 9, 9, 4, 1, 6, 6, 4, 3, 11, 11, 10, 10, 10, 10, 5, 3, 3, 3, 3, 3, 3, 3, 9, 3, 3, 13, 5, 5, 9, 5, 5, 5, 5, 5, 5, 9, 9, 9, 9, 9, 9, 9]"
11,11,-11.8132,0.052477299559006776,"[9, 5, 4, 11, 5, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 4, 9, 9, 9, 3, 3, 9, 12, 3, 4, 11, 4, 4, 3, 3, 3, 3, 3, 4, 3]"
12,12,-12.000233333333332,0.04104898613852031,"[9, 4, 5, 5, 4, 9, 9, 3, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 4, 6, 8, 9, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
13,13,-8.959266666666668,0.032109488810599975,"[10, 4, 12, 4, 6, 6, 4, 4, 4, 4, 4, 10, 12, 12, 6, 12, 6, 6, 6, 6, 6, 12, 14, 6, 6, 6, 6, 14, 6, 6, 6, 6, 12, 6, 6, 6, 6, 10, 3, 11, 11, 8, 5, 7, 3, 8, 8, 7]"
14,14,-12.589066666666664,0.025116802354115567,"[10, 10, 3, 8, 8, 8, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 3, 3]"
15,15,-8.070866666666666,0.01964695745288379,"[10, 10, 3, 3, 12, 5, 12, 12, 3, 5, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0]"
16,16,-18.653200000000005,0.015368315270123408,"[7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 13, 13, 5, 5, 1]"
17,17,-13.510266666666665,0.01202146005600684,"[5, 5, 14, 14, 5, 1, 1, 14, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
